Hours_Studied,Attendance,Sleep_Hours,Previous_Score,Result
3.75,92.36,7.48,34.84,Fail
9.51,74.73,7.16,71.0,Pass
7.32,59.77,6.11,85.92,Pass
5.99,86.83,6.96,83.51,Pass
1.56,70.93,6.19,88.62,Fail
1.56,79.73,7.95,98.56,Fail
0.58,55.36,9.01,99.71,Fail
8.66,81.58,8.72,58.73,Pass
6.01,68.68,6.04,65.15,Pass
7.08,66.71,7.06,64.87,Pass
0.21,99.0,4.06,74.94,Fail
9.7,71.62,9.22,47.2,Pass
8.32,83.9,5.47,84.08,Pass
2.12,81.39,6.65,38.87,Fail
1.82,55.22,4.92,96.58,Fail
1.83,87.4,8.07,38.73,Fail
3.04,66.16,7.27,81.99,Fail
5.25,89.95,6.19,57.8,Pass
4.32,80.38,7.21,74.37,Pass
2.91,65.85,5.01,52.0,Fail
6.12,67.81,8.65,38.38,Pass
1.39,86.58,5.6,95.66,Fail
2.92,77.5,7.69,65.71,Fail
3.66,83.42,9.4,51.04,Pass
4.56,57.92,4.23,73.71,Fail
7.85,89.35,6.33,48.05,Pass
2.0,66.02,4.81,32.83,Fail
5.14,80.99,9.45,85.56,Pass
5.92,55.73,6.16,99.71,Pass
0.46,66.07,5.28,96.95,Fail
6.08,82.44,8.06,91.58,Pass
1.71,63.71,7.26,82.32,Fail
0.65,94.02,8.9,41.34,Fail
9.49,83.06,8.52,40.91,Pass
9.66,93.51,9.85,40.48,Pass
8.08,69.77,4.54,62.17,Pass
3.05,51.7,4.48,63.32,Fail
0.98,78.81,9.44,70.43,Fail
6.84,66.96,9.73,45.87,Pass
4.4,72.41,6.44,32.78,Fail
1.22,84.06,6.74,37.05,Fail
4.95,85.03,6.21,34.86,Fail
0.34,51.38,8.67,85.5,Fail
9.09,88.47,8.62,39.43,Pass
2.59,74.68,5.32,82.53,Fail
6.63,77.83,6.3,37.5,Pass
3.12,64.9,5.27,64.71,Fail
5.2,71.04,4.28,50.15,Fail
5.47,85.52,4.34,75.6,Pass
1.85,88.84,4.88,40.22,Fail
9.7,69.36,4.18,71.2,Pass
7.75,84.56,6.54,70.01,Pass
9.39,62.9,4.38,58.21,Pass
8.95,91.6,9.08,63.77,Pass
5.98,80.49,8.27,40.29,Pass
9.22,88.76,8.7,86.74,Pass
0.88,73.86,7.7,72.33,Fail
1.96,61.46,7.98,38.36,Fail
0.45,71.46,4.68,94.23,Fail
3.25,69.07,4.35,73.58,Fail
3.89,66.64,9.94,42.06,Fail
2.71,60.61,6.24,45.69,Fail
8.29,87.96,4.31,44.29,Pass
3.57,54.32,4.96,45.77,Fail
2.81,94.38,9.25,44.68,Fail
5.43,58.75,5.23,82.22,Pass
1.41,98.99,6.8,71.4,Fail
8.02,99.42,8.0,46.33,Pass
0.75,69.92,9.8,95.24,Fail
9.87,99.39,4.08,30.81,Pass
7.72,93.45,6.93,77.99,Pass
1.99,54.12,9.98,68.04,Fail
0.06,97.37,4.73,67.2,Fail
8.15,52.13,4.74,68.59,Pass
7.07,59.1,4.52,64.06,Pass
7.29,79.23,7.05,96.25,Pass
7.71,54.04,6.09,73.31,Pass
0.74,58.09,8.3,62.16,Fail
3.58,97.67,7.43,90.2,Pass
1.16,99.73,7.49,92.28,Fail
8.63,89.91,7.07,84.21,Pass
6.23,75.76,9.95,70.17,Pass
3.31,95.02,7.23,32.99,Fail
0.64,55.59,4.43,93.71,Fail
3.11,97.14,5.93,87.23,Pass
3.25,67.58,8.68,95.35,Pass
7.3,93.07,7.77,39.42,Pass
6.38,83.42,8.1,97.28,Pass
8.87,98.01,9.53,97.6,Pass
4.72,93.23,6.66,61.74,Pass
1.2,94.39,4.12,35.21,Fail
7.13,81.59,9.94,73.53,Pass
7.61,91.66,6.73,73.84,Pass
5.61,87.86,4.59,67.14,Pass
7.71,58.08,7.29,52.97,Pass
4.94,82.43,7.54,35.03,Fail
5.23,57.41,7.39,69.37,Pass
